Period,Seller,Buyer,SDR Price,Trading Price,Trading Energy,Seller Profit,Buyer Profit,Seller Utility,Buyer Utility,Total_Utility
1,5,4,6.02,7.22,0.706,2.556,1.963,2.988,1.531,4.574628
1,10,4,6.02,7.09,0.016,0.056,0.047,2.829,1.387,3.923823
1,2,6,6.02,5.82,0.202,0.448,0.844,1.002,2.462,2.466924
1,2,4,6.02,6.06,0.136,0.335,0.536,1.333,1.819,2.424727
1,3,4,6.02,5.67,0.012,0.025,0.052,1.064,1.716,1.825824
1,9,7,5.62,5.35,0.567,0.992,2.07,0.647,1.518,0.982146
1,3,8,5.62,5.58,0.115,0.228,0.393,0.875,1.114,0.97475
1,3,1,3.6,3.6,0.653,0.0,0.0,0.0,0.0,0.0
1,9,1,3.6,3.6,0.054,0.0,0.0,0.0,0.0,0.0
