Period,Seller,Buyer,SDR Price,Trading Price,Trading Energy,Seller Profit,Buyer Profit,Seller Utility,Buyer Utility,Total_Utility
1,2,6,7.36,8.29,0.115,0.539,0.197,3.8,1.43,5.434
1,10,5,6.79,7.48,0.016,0.062,0.024,3.36,1.351,4.53936
1,3,6,7.36,7.9,0.087,0.374,0.183,3.121,1.433,4.472393
1,3,5,6.79,7.15,0.088,0.312,0.163,2.749,1.293,3.554457
1,3,8,6.79,7.92,0.115,0.497,0.124,3.177,0.904,2.872008
1,3,4,6.21,6.37,0.046,0.127,0.075,2.199,1.278,2.810322
1,9,1,3.6,3.6,0.621,0.0,0.0,0.0,0.0,0.0
1,1,4,8.0,8.0,0.396,0.0,0.0,0.0,0.0,0.0
1,1,7,9.0,9.0,0.567,0.0,0.0,0.0,0.0,0.0
